,index,mean,std,2,3,4,5,6,7,8,9,10
0,synapse_class,EXC,EXC,EXC,EXC,EXC,INH,INH,INH,INH,INH,INH
1,layer,2,3,4,5,6,1,2,3,4,5,6
2,mean,102.62840066788617,126.40375505725302,143.6472159437712,410.0077708632841,261.16254299299044,63.381958456163034,92.27968875218521,100.63095965328654,115.08524156678487,132.48331365714645,127.7470637817398
3,std,76.55590541251642,111.31535191221596,135.421605799078,393.72403117570633,300.2385972067493,55.272676237463614,73.25320201953677,83.68757208320108,92.48385000130861,114.99276014653478,112.0865931463702
